證券代號,證券名稱,成交股數,成交金額,開盤價,最高價,最低價,收盤價,漲跌價差,成交筆數
2355,敬鵬,635268.0,19636155.0,30.95,31.1,30.7,30.8,-0.1,368.0
2356,英業達,72741171.0,2436718190.0,33.6,34.45,32.3,34.1,0.85,30918.0
2357,華碩,2302942.0,708428628.0,304.5,309.0,304.0,308.5,4.0,3995.0
2358,廷鑫,615661.0,7467153.0,12.4,12.4,12.05,12.15,-0.1,369.0
2359,所羅門,1437135.0,45365517.0,32.0,32.1,31.2,31.2,-0.6,956.0
2360,致茂,6706263.0,1403302427.0,203.0,217.0,202.5,217.0,19.5,9271.0
2362,藍天,352603.0,11240542.0,31.9,31.95,31.8,31.95,0.1,471.0
2363,矽統,984257.0,17289478.0,17.6,17.65,17.5,17.55,0.05,563.0
2364,倫飛,460604.0,48329717.0,107.0,107.5,102.5,103.5,-3.0,395.0
2365,昆盈,840353.0,9165308.0,10.85,10.95,10.8,10.95,0.15,312.0
2367,燿華,2114202.0,38013617.0,18.2,18.2,17.9,17.9,-0.15,988.0
2368,金像電,32322317.0,4007350133.0,125.5,127.5,119.0,121.5,-1.0,18624.0
2369,菱生,638433.0,9110801.0,14.4,14.45,14.15,14.3,-0.05,390.0
2371,大同,61217868.0,2438941579.0,39.5,40.6,39.05,40.15,0.5,21325.0
2373,震旦行,95200.0,7573140.0,79.4,79.8,79.4,79.5,-0.1,86.0
2374,佳能,503931.0,10068377.0,20.1,20.1,19.9,20.0,-0.1,354.0
2375,凱美,514751.0,35110105.0,69.2,69.6,67.5,67.8,-1.2,557.0
2376,技嘉,61281038.0,11488457509.0,184.0,197.5,180.0,185.0,5.0,38065.0
2377,微星,15304396.0,2586799063.0,166.0,174.5,165.5,169.5,7.0,12630.0
2379,瑞昱,2564230.0,969038906.0,371.0,380.0,371.0,379.0,8.5,3034.0
2380,虹光,368475.0,3695140.0,10.2,10.2,9.98,9.98,-0.17,288.0
2382,廣達,51451056.0,6001068004.0,119.0,119.5,114.5,115.5,2.0,33494.0
2383,台光電,12235693.0,2511299506.0,208.0,211.0,200.5,202.5,-1.5,15768.0
2385,群光,3079302.0,321887460.0,103.5,105.5,103.0,105.0,1.0,2575.0
2387,精元,448646.0,18331909.0,40.9,41.1,40.75,40.75,-0.15,347.0
2388,威盛,7499529.0,576494483.0,78.0,78.5,75.7,76.0,-1.3,4957.0
2390,云辰,444234.0,5379048.0,12.3,12.35,12.0,12.0,-0.2,356.0
2392,正崴,744534.0,29743383.0,40.1,40.15,39.85,40.0,-0.1,543.0
2393,億光,1462667.0,68384903.0,46.95,47.1,46.5,46.7,0.15,1339.0
2395,研華,1243777.0,495550581.0,396.0,401.5,394.5,400.0,-2.0,1399.0
2397,友通,411881.0,29318122.0,71.0,71.5,70.8,71.2,0.5,498.0
2399,映泰,16109150.0,335990898.0,20.65,21.65,20.25,20.65,0.0,7189.0
2401,凌陽,1240087.0,30228261.0,24.65,24.65,24.2,24.3,-0.15,943.0
2402,毅嘉,8670618.0,241006195.0,28.25,28.35,27.6,27.65,-0.55,4314.0
2404,漢唐,715652.0,161540605.0,229.0,229.0,224.0,224.5,-2.0,947.0
2405,輔信,931311.0,11480287.0,12.5,12.5,12.2,12.25,-0.2,1277.0
2406,國碩,896734.0,16258356.0,18.4,18.4,18.05,18.05,-0.2,943.0
2408,南亞科,21260321.0,1527512165.0,72.9,73.3,70.6,71.9,-0.5,12618.0
2409,友達,21289219.0,372050494.0,17.5,17.7,17.4,17.4,-0.1,6293.0
2412,中華電,19932434.0,2511374952.0,126.5,127.0,125.0,127.0,-1.0,8620.0
2413,環科,2119390.0,68400584.0,33.0,33.0,32.0,32.15,-0.6,1120.0
2414,精技,70045.0,2472348.0,35.3,35.35,35.25,35.3,0.0,74.0
2415,錩新,62419.0,1459818.0,23.5,23.5,23.3,23.4,0.0,52.0
2417,圓剛,400689.0,8637775.0,21.8,21.8,21.4,21.6,0.0,464.0
2419,仲琦,1288055.0,33846407.0,26.5,26.55,26.1,26.15,-0.25,636.0
2420,新巨,161211.0,7319039.0,45.6,45.6,45.3,45.5,0.1,133.0
2421,建準,74065694.0,6343223083.0,84.1,88.5,82.9,84.5,3.0,42211.0
2423,固緯,348612.0,12458412.0,35.7,35.9,35.55,35.75,0.2,282.0
2424,隴華,247875.0,8470085.0,33.95,34.45,33.15,34.45,3.1,163.0
2425,承啟,8054542.0,240294309.0,28.7,31.2,28.6,31.2,2.8,4249.0
2426,鼎元,371531.0,6726915.0,18.3,18.35,18.05,18.1,-0.2,238.0
2427,三商電,3322203.0,82008425.0,25.0,25.5,24.0,24.35,-0.15,1955.0
2428,興勤,389944.0,60803131.0,158.0,158.0,155.0,156.0,0.0,306.0
2429,銘旺科,76141.0,1503441.0,19.95,19.95,19.65,19.7,-0.25,62.0
2430,燦坤,272300.0,11722681.0,43.3,43.4,42.8,43.3,-0.15,506.0
2431,聯昌,3327081.0,38821827.0,10.9,11.9,10.9,11.9,1.05,1011.0
2433,互盛電,31116.0,1660697.0,53.5,53.6,52.7,53.5,-0.2,73.0
2434,統懋,113589.0,3474363.0,30.1,31.05,30.1,30.7,0.35,54.0
2436,偉詮電,661709.0,33101058.0,50.6,50.6,49.7,49.7,-0.4,583.0
2438,翔耀,118813.0,2832480.0,23.8,24.1,23.7,23.75,0.05,91.0
2439,美律,421403.0,37161692.0,88.8,89.0,87.8,87.9,-0.4,605.0
2440,太空梭,213221.0,2404432.0,11.4,11.4,11.2,11.35,-0.05,102.0
2441,超豐,6329994.0,359554112.0,54.7,57.9,54.6,57.1,2.5,4339.0
2442,新美齊,6907675.0,121344184.0,17.8,18.0,17.2,17.3,-0.3,3006.0
2443,昶虹,351372.0,1252181.0,3.5,3.65,3.45,3.55,-0.01,88.0
2444,兆勁,618386.0,9101427.0,14.9,14.9,14.65,14.65,-0.25,340.0
2449,京元電子,40623125.0,2054494527.0,48.9,51.7,48.85,51.1,3.05,23083.0
2450,神腦,128706.0,4621500.0,36.15,36.15,35.75,36.0,0.0,144.0
2451,創見,647885.0,47411195.0,73.0,73.3,72.9,73.3,0.1,451.0
2453,凌群,16275540.0,1169827072.0,71.6,74.5,69.5,69.7,-0.7,10602.0
2454,聯發科,11322817.0,8207870188.0,708.0,737.0,708.0,730.0,22.0,17632.0
2455,全新,6230404.0,615631344.0,96.0,101.5,94.7,100.0,4.6,4796.0
2457,飛宏,19891919.0,1479249337.0,75.4,75.6,73.5,73.7,-0.8,11954.0
2458,義隆,2447907.0,253510796.0,104.5,106.0,102.0,102.5,-1.5,1949.0
2459,敦吉,41443.0,2375208.0,57.4,57.5,57.1,57.5,0.1,52.0
2460,建通,325709.0,6595925.0,20.65,20.7,20.05,20.1,-0.55,236.0
2461,光群雷,598231.0,13727985.0,23.3,23.3,22.8,22.95,-0.05,324.0
