pldate,plprice,plcount
2022-03-16,9.06,0.0
2022-05-12,7.83,0.0
2022-07-12,7.18,0.0
2022-09-07,7.82,0.0
2022-09-28,7.46,0.0
2023-03-27,8.26,0.0
2023-04-21,8.19,0.0
