lhdate,lhprice,lhcount
2022-03-22,29.4,0.0
2022-04-14,28.2,0.0
2022-05-05,25.25,0.0
2022-06-09,24.9,0.0
2022-06-27,22.6,0.0
2022-11-23,25.0,0.0
2022-12-05,27.35,0.0
2023-01-10,22.7,0.0
2023-02-20,26.5,0.0
2023-03-08,29.3,0.0
2023-03-27,27.3,0.0
2023-04-18,28.25,0.0
2023-05-02,28.9,0.0
2023-05-23,31.2,0.0
