pldate,plprice,plcount
2022-05-12,112.0,0.0
2022-06-22,99.7,0.0
2022-07-15,94.4,0.0
2022-08-18,83.9,0.0
2022-09-29,62.1,0.0
2022-12-20,81.7,0.0
2023-03-30,92.4,0.0
2023-05-20,98.0,0.0
