lhdate,lhprice,lhcount
2022-05-24,36.15,0.0
2022-07-21,29.7,0.0
2022-08-01,29.7,0.0
2022-08-10,29.3,0.0
2022-08-23,30.7,0.0
2022-09-16,34.25,0.0
2022-10-06,33.7,0.0
2022-10-19,34.75,0.0
2022-11-09,46.8,0.0
2022-11-17,46.75,0.0
2022-12-01,48.8,0.0
2022-12-09,47.25,0.0
2023-01-09,39.65,0.0
2023-02-09,41.3,0.0
2023-02-20,41.35,0.0
2023-03-06,45.95,0.0
2023-03-23,44.55,0.0
2023-04-12,42.75,0.0
2023-05-04,40.8,0.0
