pldate,plprice,plcount
2022-04-27,363.5,0.0
2022-05-24,384.5,0.0
2022-07-12,234.5,0.0
2022-08-10,245.5,0.0
2022-09-29,213.5,0.0
2023-03-29,414.0,0.0
2023-04-25,409.0,0.0
