pldate,plprice,plcount
2022-05-12,11.4,0.0
2022-09-14,12.3,0.0
2022-10-20,11.7,0.0
2022-12-29,12.85,0.0
2023-02-06,13.15,0.0
2023-03-16,12.7,0.0
2023-05-12,13.85,0.0
