,index,股票代號,股票名稱,融資前日餘額,融資今日餘額,融券前日餘額,融券今日餘額,融資買進,融資賣出,融資現金償還,融資限額,融券買進,融券賣出,融券現券償還,融券限額,資券互抵,註記,filter
2022-12-08,893.0,6116,彩晶,43968,43698,9028.0,8727.0,,,,,,,,,,,False
2022-12-12,,6116,彩晶,43255,42508,8643.0,8705.0,164.0,550.0,361.0,735082.0,8.0,72.0,2.0,735082.0,, ,False
2022-12-13,,6116,彩晶,42823,43101,8633.0,8485.0,625.0,320.0,27.0,735082.0,157.0,11.0,2.0,735082.0,10.0, ,False
2022-12-14,,6116,彩晶,43101,43176,8485.0,8342.0,415.0,280.0,60.0,735082.0,160.0,17.0,,735082.0,44.0, ,False
2022-12-15,,6116,彩晶,43176,42586,8342.0,8295.0,219.0,481.0,328.0,735082.0,48.0,1.0,,735082.0,3.0, ,False
2022-12-18,,6116,彩晶,42586,42549,8295.0,8043.0,758.0,608.0,187.0,735082.0,333.0,82.0,1.0,735082.0,1.0, ,False
2022-12-19,,6116,彩晶,42549,41693,8043.0,8392.0,206.0,1043.0,19.0,735082.0,54.0,403.0,,735082.0,1.0, ,False
2022-12-20,,6116,彩晶,41693,41602,8392.0,8238.0,335.0,343.0,83.0,735082.0,155.0,2.0,1.0,735082.0,, ,False
2022-12-21,,6116,彩晶,41602,41727,8238.0,8209.0,380.0,203.0,52.0,735082.0,119.0,92.0,2.0,735082.0,1.0, ,False
2022-12-23,,6116,彩晶,41539,41242,8218.0,8165.0,65.0,329.0,33.0,735082.0,79.0,26.0,,735082.0,1.0, ,False
2022-12-26,,6116,彩晶,41242,41082,8165.0,8219.0,393.0,528.0,25.0,735082.0,6.0,60.0,,735082.0,1.0, ,False
2022-12-27,,6116,彩晶,41082,41020,8219.0,8213.0,112.0,160.0,14.0,735082.0,7.0,1.0,,735082.0,, ,False
2022-12-28,,6116,彩晶,41020,40865,8213.0,8205.0,243.0,342.0,56.0,735082.0,55.0,47.0,,735082.0,, ,False
2022-12-29,,6116,彩晶,40865,39648,8205.0,8274.0,108.0,1295.0,30.0,735082.0,147.0,218.0,2.0,735082.0,1.0, ,False
2022-12-30,,6116,彩晶,39648,39502,8274.0,8334.0,279.0,325.0,100.0,735082.0,37.0,97.0,,735082.0,, ,False
2023-01-03,,6116,彩晶,39502,39049,8334.0,8234.0,165.0,332.0,286.0,735082.0,117.0,19.0,2.0,735082.0,2.0, ,
2023-01-04,,6116,彩晶,39049,38691,8234.0,8243.0,79.0,383.0,54.0,735082.0,10.0,19.0,,735082.0,, ,
2023-01-05,,6116,彩晶,38691,37579,8243.0,8181.0,160.0,1101.0,171.0,735082.0,62.0,,,735082.0,, ,
