,index,股票代號,股票名稱,融資前日餘額,融資今日餘額,融券前日餘額,融券今日餘額,融資買進,融資賣出,融資現金償還,融資限額,融券買進,融券賣出,融券現券償還,融券限額,資券互抵,註記,filter
2022-12-08,336.0,1810,和成,25261,24661,4102.0,4065.0,,,,,,,,,,,False
2022-12-12,,1810,和成,25769,24969,4064.0,3936.0,1022.0,1822.0,,75819.0,145.0,30.0,13.0,75819.0,288.0, ,False
2022-12-13,,1810,和成,23864,23755,3286.0,3132.0,531.0,633.0,7.0,75819.0,224.0,70.0,,75819.0,147.0, ,False
2022-12-14,,1810,和成,23755,23697,3132.0,3166.0,1174.0,1232.0,,75819.0,104.0,138.0,,75819.0,557.0, ,False
2022-12-15,,1810,和成,23697,22298,3166.0,4452.0,1170.0,2569.0,,75819.0,18.0,1304.0,,75819.0,29.0, ,False
2022-12-18,,1810,和成,22298,23390,4452.0,3910.0,4645.0,3553.0,,75819.0,778.0,236.0,,75819.0,135.0, ,False
2022-12-19,,1810,和成,23390,22908,3910.0,3157.0,1532.0,2014.0,,75819.0,775.0,22.0,,75819.0,, ,False
2022-12-20,,1810,和成,22908,22835,3157.0,2962.0,1063.0,1134.0,2.0,75819.0,505.0,311.0,1.0,75819.0,19.0, ,False
2022-12-21,,1810,和成,22835,23040,2962.0,3359.0,1193.0,988.0,,75819.0,223.0,620.0,,75819.0,18.0, ,False
2022-12-23,,1810,和成,22835,22630,3137.0,3076.0,530.0,735.0,,75819.0,258.0,197.0,,75819.0,12.0, ,False
2022-12-26,,1810,和成,22630,23847,3076.0,3334.0,2591.0,1363.0,11.0,75819.0,349.0,608.0,1.0,75819.0,38.0, ,False
2022-12-27,,1810,和成,23847,23273,3334.0,3579.0,1016.0,1590.0,,75819.0,204.0,449.0,,75819.0,159.0, ,False
2022-12-28,,1810,和成,23273,23289,3579.0,3216.0,802.0,786.0,,75819.0,533.0,171.0,1.0,75819.0,46.0, ,False
2022-12-29,,1810,和成,23289,22998,3216.0,2943.0,218.0,508.0,1.0,75819.0,303.0,32.0,2.0,75819.0,22.0, ,False
2022-12-30,,1810,和成,22998,23853,2943.0,3723.0,1221.0,366.0,,75819.0,80.0,860.0,,75819.0,7.0, ,False
2023-01-03,,1810,和成,23853,23597,3723.0,3793.0,234.0,490.0,,75819.0,97.0,167.0,,75819.0,18.0, ,
2023-01-04,,1810,和成,23597,23543,3793.0,3564.0,117.0,171.0,,75819.0,237.0,13.0,5.0,75819.0,3.0, ,
