,index,股票代號,股票名稱,融資前日餘額,融資今日餘額,融券前日餘額,融券今日餘額,融資買進,融資賣出,融資現金償還,融資限額,融券買進,融券賣出,融券現券償還,融券限額,資券互抵,註記,filter
2022-12-08,885.0,5880,合庫金,1714,1689,108.0,194.0,,,,,,,,,,,False
2022-12-12,,5880,合庫金,1705,1668,198.0,197.0,1.0,38.0,,3502233.0,5.0,4.0,,3502233.0,, ,False
2022-12-13,,5880,合庫金,1664,1695,205.0,205.0,33.0,2.0,,3502233.0,1.0,1.0,,3502233.0,, ,False
2022-12-14,,5880,合庫金,1695,1626,205.0,209.0,14.0,83.0,,3502233.0,1.0,5.0,,3502233.0,, ,False
2022-12-15,,5880,合庫金,1626,1619,209.0,209.0,,2.0,5.0,3502233.0,,,,3502233.0,, ,False
2022-12-18,,5880,合庫金,1619,1684,209.0,208.0,66.0,1.0,,3502233.0,1.0,,,3502233.0,, ,False
2022-12-19,,5880,合庫金,1684,1687,208.0,207.0,9.0,6.0,,3502233.0,1.0,,,3502233.0,8.0, ,False
2022-12-20,,5880,合庫金,1687,1694,207.0,200.0,16.0,8.0,1.0,3502233.0,7.0,,,3502233.0,, ,False
2022-12-21,,5880,合庫金,1694,1699,200.0,201.0,8.0,3.0,,3502233.0,1.0,2.0,,3502233.0,, ,False
2022-12-23,,5880,合庫金,1693,1746,206.0,204.0,54.0,1.0,,3502233.0,3.0,1.0,,3502233.0,, ,False
2022-12-26,,5880,合庫金,1746,1713,204.0,204.0,,33.0,,3502233.0,,,,3502233.0,, ,False
2022-12-27,,5880,合庫金,1713,1708,204.0,204.0,,5.0,,3502233.0,,,,3502233.0,, ,False
2022-12-28,,5880,合庫金,1708,1715,204.0,208.0,7.0,,,3502233.0,,4.0,,3502233.0,, ,False
2022-12-29,,5880,合庫金,1715,1739,208.0,201.0,30.0,6.0,,3502233.0,8.0,1.0,,3502233.0,, ,False
2022-12-30,,5880,合庫金,1739,1704,201.0,211.0,,35.0,,3502233.0,,10.0,,3502233.0,, ,False
2023-01-03,,5880,合庫金,1704,1716,211.0,212.0,12.0,,,3502233.0,,1.0,,3502233.0,, ,
2023-01-04,,5880,合庫金,1716,1701,212.0,212.0,11.0,20.0,6.0,3502233.0,,,,3502233.0,, ,
2023-01-05,,5880,合庫金,1701,1672,212.0,208.0,,26.0,3.0,3502233.0,5.0,1.0,,3502233.0,, ,
2023-01-06,,5880,合庫金,1672,1658,208.0,208.0,18.0,32.0,,3502233.0,,,,3502233.0,, ,
2023-01-10,,5880,合庫金,1573,1535,171.0,178.0,29.0,66.0,1.0,3502233.0,,7.0,,3502233.0,, ,
2023-01-11,,5880,合庫金,1535,1578,178.0,164.0,57.0,3.0,11.0,3502233.0,16.0,2.0,,3502233.0,, ,
2023-01-12,,5880,合庫金,1578,1661,164.0,83.0,95.0,11.0,1.0,3502233.0,81.0,,,3502233.0,, ,
2023-01-14,,5880,合庫金,1661,1647,83.0,91.0,10.0,24.0,,3502233.0,3.0,11.0,,3502233.0,10.0, ,
