,index,股票代號,股票名稱,融資前日餘額,融資今日餘額,融券前日餘額,融券今日餘額,融資買進,融資賣出,融資現金償還,融資限額,融券買進,融券賣出,融券現券償還,融券限額,資券互抵,註記,filter
2022-12-08,996.0,6756,威鋒電子,1679,1653,158.0,147.0,,,,,,,,,,,False
2022-12-12,,6756,威鋒電子,1647,1633,153.0,156.0,27.0,40.0,1.0,17132.0,,3.0,,17132.0,1.0, ,False
2022-12-13,,6756,威鋒電子,1647,1672,152.0,150.0,37.0,12.0,,17132.0,6.0,5.0,1.0,17132.0,, ,False
2022-12-14,,6756,威鋒電子,1672,1643,150.0,145.0,13.0,42.0,,17135.0,6.0,1.0,,17135.0,, ,False
2022-12-15,,6756,威鋒電子,1643,1614,145.0,151.0,17.0,46.0,,17135.0,,6.0,,17135.0,, ,False
2022-12-18,,6756,威鋒電子,1614,1549,151.0,160.0,48.0,113.0,,17135.0,5.0,14.0,,17135.0,, ,False
2022-12-19,,6756,威鋒電子,1549,1551,160.0,209.0,13.0,11.0,,17135.0,1.0,50.0,,17135.0,2.0, ,False
2022-12-20,,6756,威鋒電子,1551,1535,209.0,209.0,24.0,40.0,,17135.0,11.0,11.0,,17135.0,1.0, ,False
2022-12-21,,6756,威鋒電子,1535,1548,209.0,206.0,23.0,10.0,,17135.0,4.0,1.0,,17135.0,1.0, ,False
2022-12-23,,6756,威鋒電子,1552,1541,196.0,205.0,12.0,23.0,,17135.0,4.0,13.0,,17135.0,2.0, ,False
2022-12-26,,6756,威鋒電子,1541,1547,205.0,169.0,15.0,9.0,,17135.0,38.0,2.0,,17135.0,1.0, ,False
2022-12-27,,6756,威鋒電子,1547,1550,169.0,179.0,12.0,9.0,,17135.0,1.0,11.0,,17135.0,, ,False
2022-12-28,,6756,威鋒電子,1550,1551,179.0,216.0,30.0,29.0,,17135.0,5.0,42.0,,17135.0,1.0, ,False
2022-12-29,,6756,威鋒電子,1551,1539,216.0,214.0,10.0,21.0,1.0,17135.0,14.0,12.0,,17135.0,, ,False
2022-12-30,,6756,威鋒電子,1539,1548,214.0,190.0,21.0,12.0,,17135.0,25.0,1.0,,17135.0,, ,False
2023-01-03,,6756,威鋒電子,1548,1532,190.0,186.0,27.0,43.0,,17135.0,9.0,5.0,,17135.0,, ,
2023-01-04,,6756,威鋒電子,1532,1515,186.0,184.0,35.0,51.0,1.0,17135.0,3.0,1.0,,17135.0,5.0, ,
2023-01-05,,6756,威鋒電子,1515,1502,184.0,184.0,25.0,38.0,,17135.0,,,,17135.0,3.0, ,
2023-01-06,,6756,威鋒電子,1502,1493,184.0,189.0,21.0,29.0,1.0,17135.0,,5.0,,17135.0,1.0, ,
2023-01-10,,6756,威鋒電子,1549,1555,191.0,187.0,32.0,23.0,3.0,17135.0,5.0,1.0,,17135.0,, ,
2023-01-11,,6756,威鋒電子,1555,1540,187.0,185.0,18.0,32.0,1.0,17135.0,2.0,,,17135.0,3.0, ,
2023-01-12,,6756,威鋒電子,1540,1473,185.0,185.0,8.0,72.0,3.0,17135.0,1.0,1.0,,17135.0,, ,
2023-01-14,,6756,威鋒電子,1473,1449,185.0,181.0,27.0,50.0,1.0,17189.0,5.0,1.0,,17189.0,, ,
2023-01-16,,6756,威鋒電子,1449,1436,181.0,182.0,13.0,24.0,2.0,17189.0,,1.0,,17189.0,2.0, ,
2023-01-18,,6756,威鋒電子,1436,1421,182.0,178.0,9.0,22.0,2.0,17189.0,4.0,,,17189.0,, ,
2023-02-01,,6756,威鋒電子,1468,1484,187.0,217.0,52.0,36.0,,17189.0,7.0,37.0,,17189.0,, ,
2023-02-02,,6756,威鋒電子,1468,1484,187.0,217.0,52.0,36.0,,17189.0,7.0,37.0,,17189.0,, ,
2023-02-03,,6756,威鋒電子,1628,1556,229.0,244.0,182.0,254.0,,17189.0,,15.0,,17189.0,1.0, ,
2023-02-04,,6756,威鋒電子,1628,1556,229.0,244.0,182.0,254.0,,17189.0,,15.0,,17189.0,1.0, ,
2023-02-06,,6756,威鋒電子,1556,1540,244.0,238.0,91.0,107.0,,17189.0,7.0,1.0,,17189.0,2.0, ,
2023-02-07,,6756,威鋒電子,1540,1537,238.0,236.0,52.0,53.0,2.0,17189.0,4.0,2.0,,17189.0,, ,
2023-02-08,,6756,威鋒電子,1537,1527,236.0,226.0,85.0,92.0,3.0,17189.0,12.0,2.0,,17189.0,2.0, ,
2023-02-09,,6756,威鋒電子,1527,1520,226.0,226.0,67.0,73.0,1.0,17189.0,,,,17189.0,4.0, ,
2023-02-10,,6756,威鋒電子,1520,1537,226.0,220.0,77.0,59.0,1.0,17189.0,8.0,2.0,,17189.0,, ,
2023-02-11,,6756,威鋒電子,1520,1537,226.0,220.0,77.0,59.0,1.0,17189.0,8.0,2.0,,17189.0,, ,
2023-02-13,,6756,威鋒電子,1537,1528,220.0,219.0,15.0,24.0,,17189.0,2.0,1.0,,17189.0,, ,
2023-02-14,,6756,威鋒電子,1528,1525,219.0,220.0,20.0,23.0,,17204.0,1.0,2.0,,17204.0,, ,
2023-02-15,,6756,威鋒電子,1525,1539,220.0,228.0,25.0,11.0,,17204.0,,8.0,,17204.0,1.0, ,
2023-02-16,,6756,威鋒電子,1539,1533,228.0,225.0,39.0,45.0,,17204.0,4.0,1.0,,17204.0,, ,
2023-02-17,,6756,威鋒電子,1533,1556,225.0,226.0,37.0,14.0,,17204.0,,1.0,,17204.0,3.0, ,
2023-02-18,,6756,威鋒電子,1533,1556,225.0,226.0,37.0,14.0,,17204.0,,1.0,,17204.0,3.0, ,
2023-02-20,,6756,威鋒電子,1556,1559,226.0,228.0,92.0,88.0,1.0,17204.0,,2.0,,17204.0,1.0, ,
2023-02-21,,6756,威鋒電子,1559,1581,228.0,228.0,131.0,109.0,,17204.0,3.0,3.0,,17204.0,, ,
2023-02-22,,6756,威鋒電子,1581,1590,228.0,225.0,77.0,68.0,,17204.0,5.0,2.0,,17204.0,3.0, ,
2023-02-23,,6756,威鋒電子,1590,1629,225.0,234.0,168.0,129.0,,17204.0,2.0,11.0,,17204.0,, ,
2023-02-24,,6756,威鋒電子,1629,1637,234.0,229.0,98.0,83.0,7.0,17204.0,8.0,3.0,,17204.0,, ,
2023-02-25,,6756,威鋒電子,1629,1637,234.0,229.0,98.0,83.0,7.0,17204.0,8.0,3.0,,17204.0,, ,
2023-02-27,,6756,威鋒電子,1629,1637,234.0,229.0,98.0,83.0,7.0,17204.0,8.0,3.0,,17204.0,, ,
2023-02-28,,6756,威鋒電子,1629,1637,234.0,229.0,98.0,83.0,7.0,17204.0,8.0,3.0,,17204.0,, ,
2023-03-01,,6756,威鋒電子,1637,1629,229.0,232.0,37.0,45.0,,17204.0,1.0,4.0,,17204.0,, ,
2023-03-02,,6756,威鋒電子,1629,1631,232.0,217.0,50.0,48.0,,17204.0,15.0,2.0,2.0,17204.0,4.0, ,
2023-03-03,,6756,威鋒電子,1631,1606,217.0,190.0,35.0,60.0,,17204.0,30.0,3.0,,17204.0,, ,
2023-03-04,,6756,威鋒電子,1631,1606,217.0,190.0,35.0,60.0,,17204.0,30.0,3.0,,17204.0,, ,
2023-03-06,,6756,威鋒電子,1606,1608,190.0,193.0,26.0,24.0,,17204.0,1.0,4.0,,17204.0,, ,
2023-03-07,,6756,威鋒電子,1608,1643,193.0,190.0,55.0,20.0,,17204.0,3.0,,,17204.0,1.0, ,
2023-03-08,,6756,威鋒電子,1643,1622,190.0,194.0,10.0,29.0,2.0,17204.0,,4.0,,17204.0,, ,
2023-03-09,,6756,威鋒電子,1622,1692,194.0,205.0,294.0,222.0,2.0,17204.0,8.0,19.0,,17204.0,3.0, ,
2023-03-10,,6756,威鋒電子,1692,1715,205.0,198.0,168.0,145.0,,17204.0,10.0,3.0,,17204.0,, ,
2023-03-11,,6756,威鋒電子,1692,1715,205.0,198.0,168.0,145.0,,17204.0,10.0,3.0,,17204.0,, ,
2023-03-13,,6756,威鋒電子,1715,1662,198.0,193.0,52.0,105.0,,17204.0,13.0,8.0,,17204.0,3.0, ,
2023-03-14,,6756,威鋒電子,1662,1655,193.0,200.0,23.0,28.0,2.0,17224.0,,7.0,,17224.0,, ,
2023-03-15,,6756,威鋒電子,1655,1571,200.0,200.0,33.0,117.0,,17224.0,15.0,15.0,,17224.0,2.0, ,
2023-03-16,,6756,威鋒電子,1571,1636,200.0,198.0,115.0,49.0,1.0,17224.0,20.0,18.0,,17224.0,1.0, ,
2023-03-17,,6756,威鋒電子,1636,1714,198.0,218.0,186.0,108.0,,17224.0,13.0,33.0,,17224.0,, ,
2023-03-18,,6756,威鋒電子,1636,1714,198.0,218.0,186.0,108.0,,17224.0,13.0,33.0,,17224.0,, ,
2023-03-20,,6756,威鋒電子,1714,1700,218.0,208.0,123.0,137.0,,17224.0,10.0,,,17224.0,2.0, ,
2023-03-21,,6756,威鋒電子,1700,1937,208.0,267.0,615.0,368.0,10.0,17224.0,12.0,71.0,,17224.0,, ,
2023-03-22,,6756,威鋒電子,1937,1721,267.0,290.0,383.0,596.0,3.0,17224.0,8.0,31.0,,17224.0,8.0, ,
2023-03-23,,6756,威鋒電子,1721,1658,290.0,287.0,191.0,249.0,5.0,17224.0,5.0,2.0,,17224.0,2.0, ,
2023-03-24,,6756,威鋒電子,1658,1768,287.0,253.0,251.0,141.0,,17224.0,35.0,1.0,,17224.0,1.0, ,
2023-03-25,,6756,威鋒電子,1658,1768,287.0,253.0,251.0,141.0,,17224.0,35.0,1.0,,17224.0,1.0, ,
2023-03-27,,6756,威鋒電子,1768,1769,253.0,206.0,128.0,127.0,,17224.0,49.0,2.0,,17224.0,, ,
2023-03-28,,6756,威鋒電子,1769,1699,206.0,197.0,112.0,182.0,,17224.0,12.0,3.0,,17224.0,, ,
2023-03-29,,6756,威鋒電子,1699,1643,197.0,182.0,152.0,208.0,,17224.0,16.0,1.0,,17224.0,5.0, ,
2023-03-30,,6756,威鋒電子,1643,1616,182.0,184.0,60.0,87.0,,17224.0,,2.0,,17224.0,, ,
2023-03-31,,6756,威鋒電子,1616,1634,184.0,170.0,42.0,18.0,6.0,17224.0,14.0,,,17224.0,, ,
2023-04-01,,6756,威鋒電子,1616,1634,184.0,170.0,42.0,18.0,6.0,17224.0,14.0,,,17224.0,, ,
2023-04-03,,6756,威鋒電子,1616,1634,184.0,170.0,42.0,18.0,6.0,17224.0,14.0,,,17224.0,, ,
2023-04-04,,6756,威鋒電子,1616,1634,184.0,170.0,42.0,18.0,6.0,17224.0,14.0,,,17224.0,, ,
2023-04-05,,6756,威鋒電子,1616,1634,184.0,170.0,42.0,18.0,6.0,17224.0,14.0,,,17224.0,, ,
2023-04-06,,6756,威鋒電子,1634,1642,170.0,165.0,45.0,36.0,1.0,17224.0,5.0,,,17224.0,, ,
2023-04-07,,6756,威鋒電子,1642,1622,165.0,78.0,72.0,92.0,,17224.0,72.0,5.0,20.0,17224.0,1.0,X ,
2023-04-08,,6756,威鋒電子,1642,1622,165.0,78.0,72.0,92.0,,17224.0,72.0,5.0,20.0,17224.0,1.0,X ,
2023-04-10,,6756,威鋒電子,1622,1623,78.0,,39.0,38.0,,17224.0,78.0,,,17224.0,,X ,
2023-04-11,,6756,威鋒電子,1623,1608,,,56.0,70.0,1.0,17224.0,,,,17224.0,,X ,
2023-04-12,,6756,威鋒電子,1608,1644,,,76.0,39.0,1.0,17224.0,,,,17224.0,,X ,
2023-04-13,,6756,威鋒電子,1644,1659,,,226.0,208.0,3.0,17224.0,,,,17224.0,, ,
2023-04-14,,6756,威鋒電子,1659,1658,,7.0,72.0,72.0,1.0,17250.0,,7.0,,17250.0,20.0, ,
2023-04-15,,6756,威鋒電子,1659,1658,,7.0,72.0,72.0,1.0,17250.0,,7.0,,17250.0,20.0, ,
2023-04-17,,6756,威鋒電子,1658,1629,7.0,10.0,38.0,67.0,,17250.0,,3.0,,17250.0,2.0, ,
2023-04-18,,6756,威鋒電子,1629,1635,10.0,19.0,56.0,50.0,,17250.0,,9.0,,17250.0,, ,
