,index,股票代號,股票名稱,融資前日餘額,融資今日餘額,融券前日餘額,融券今日餘額,融資買進,融資賣出,融資現金償還,融資限額,融券買進,融券賣出,融券現券償還,融券限額,資券互抵,註記,filter
2022-12-08,403.0,2308,台達電,2898,2861,542.0,528.0,,,,,,,,,,,False
2022-12-12,,2308,台達電,2965,2824,532.0,531.0,80.0,221.0,,649385.0,8.0,7.0,,649385.0,, ,False
2022-12-13,,2308,台達電,2840,2883,522.0,517.0,158.0,115.0,,649385.0,6.0,1.0,,649385.0,, ,False
2022-12-14,,2308,台達電,2883,2510,517.0,601.0,252.0,625.0,,649385.0,4.0,88.0,,649385.0,1.0, ,False
2022-12-15,,2308,台達電,2510,2617,601.0,620.0,124.0,15.0,2.0,649385.0,2.0,22.0,1.0,649385.0,, ,False
2022-12-18,,2308,台達電,2617,2794,620.0,606.0,218.0,41.0,,649385.0,33.0,19.0,,649385.0,3.0, ,False
2022-12-19,,2308,台達電,2794,2598,606.0,600.0,48.0,244.0,,649385.0,22.0,16.0,,649385.0,, ,False
2022-12-20,,2308,台達電,2598,2408,600.0,599.0,59.0,248.0,1.0,649385.0,25.0,24.0,,649385.0,2.0, ,False
2022-12-21,,2308,台達電,2408,2535,599.0,578.0,178.0,51.0,,649385.0,15.0,4.0,10.0,649385.0,, ,False
2022-12-23,,2308,台達電,2532,1914,574.0,552.0,51.0,669.0,,649385.0,24.0,4.0,2.0,649385.0,, ,False
2022-12-26,,2308,台達電,1914,1919,552.0,547.0,41.0,34.0,2.0,649385.0,7.0,2.0,,649385.0,, ,False
2022-12-27,,2308,台達電,1919,1976,547.0,547.0,88.0,31.0,,649385.0,2.0,3.0,1.0,649385.0,1.0, ,False
2022-12-28,,2308,台達電,1976,1858,547.0,560.0,86.0,204.0,,649385.0,7.0,30.0,10.0,649385.0,2.0, ,False
2022-12-29,,2308,台達電,1858,1875,560.0,515.0,42.0,24.0,1.0,649385.0,48.0,3.0,,649385.0,1.0, ,False
2022-12-30,,2308,台達電,1875,1835,515.0,565.0,54.0,93.0,1.0,649385.0,4.0,54.0,,649385.0,1.0, ,False
2023-01-03,,2308,台達電,1835,2127,565.0,561.0,312.0,20.0,,649385.0,10.0,6.0,,649385.0,, ,
2023-01-04,,2308,台達電,2127,2198,561.0,575.0,99.0,28.0,,649385.0,10.0,24.0,,649385.0,1.0, ,
2023-01-05,,2308,台達電,2198,2234,575.0,554.0,120.0,84.0,,649385.0,22.0,1.0,,649385.0,, ,
2023-01-06,,2308,台達電,2234,2278,554.0,532.0,269.0,225.0,,649385.0,28.0,6.0,,649385.0,, ,
2023-01-10,,2308,台達電,2160,2113,540.0,545.0,42.0,85.0,4.0,649385.0,1.0,6.0,,649385.0,1.0, ,
2023-01-11,,2308,台達電,2113,2065,545.0,544.0,70.0,117.0,1.0,649385.0,4.0,3.0,,649385.0,, ,
2023-01-12,,2308,台達電,2065,2244,544.0,530.0,210.0,31.0,,649385.0,7.0,4.0,11.0,649385.0,, ,
2023-01-14,,2308,台達電,2244,2183,530.0,523.0,47.0,104.0,4.0,649385.0,6.0,1.0,2.0,649385.0,, ,
2023-01-16,,2308,台達電,2183,2121,523.0,505.0,55.0,115.0,2.0,649385.0,2.0,4.0,20.0,649385.0,, ,
2023-01-18,,2308,台達電,2121,2275,505.0,505.0,324.0,167.0,3.0,649385.0,3.0,3.0,,649385.0,1.0, ,
2023-02-01,,2308,台達電,2061,2018,496.0,480.0,105.0,147.0,1.0,649385.0,21.0,5.0,,649385.0,, ,
2023-02-02,,2308,台達電,2061,2018,496.0,480.0,105.0,147.0,1.0,649385.0,21.0,5.0,,649385.0,, ,
2023-02-03,,2308,台達電,2229,2076,460.0,466.0,88.0,197.0,44.0,649385.0,12.0,18.0,,649385.0,1.0, ,
2023-02-04,,2308,台達電,2229,2076,460.0,466.0,88.0,197.0,44.0,649385.0,12.0,18.0,,649385.0,1.0, ,
2023-02-06,,2308,台達電,2076,1911,466.0,462.0,58.0,222.0,1.0,649385.0,5.0,1.0,,649385.0,, ,
2023-02-07,,2308,台達電,1911,1885,462.0,463.0,50.0,76.0,,649385.0,2.0,3.0,,649385.0,, ,
2023-02-08,,2308,台達電,1885,1917,463.0,459.0,73.0,41.0,,649385.0,12.0,8.0,,649385.0,, ,
2023-02-09,,2308,台達電,1917,1961,459.0,443.0,166.0,122.0,,649385.0,17.0,1.0,,649385.0,, ,
2023-02-10,,2308,台達電,1961,1865,443.0,445.0,54.0,150.0,,649385.0,1.0,3.0,,649385.0,, ,
2023-02-11,,2308,台達電,1961,1865,443.0,445.0,54.0,150.0,,649385.0,1.0,3.0,,649385.0,, ,
2023-02-13,,2308,台達電,1865,1904,445.0,453.0,88.0,47.0,2.0,649385.0,2.0,10.0,,649385.0,2.0, ,
2023-02-14,,2308,台達電,1904,1924,453.0,464.0,52.0,31.0,1.0,649385.0,,11.0,,649385.0,, ,
2023-02-15,,2308,台達電,1924,1932,464.0,463.0,57.0,49.0,,649385.0,2.0,1.0,,649385.0,, ,
2023-02-16,,2308,台達電,1932,2124,463.0,425.0,300.0,107.0,1.0,649385.0,52.0,14.0,,649385.0,1.0, ,
2023-02-17,,2308,台達電,2124,2171,425.0,429.0,83.0,34.0,2.0,649385.0,6.0,10.0,,649385.0,1.0, ,
2023-02-18,,2308,台達電,2124,2171,425.0,429.0,83.0,34.0,2.0,649385.0,6.0,10.0,,649385.0,1.0, ,
2023-02-20,,2308,台達電,2171,2223,429.0,428.0,87.0,34.0,1.0,649385.0,1.0,,,649385.0,, ,
2023-02-21,,2308,台達電,2223,2192,428.0,426.0,51.0,82.0,,649385.0,10.0,8.0,,649385.0,, ,
2023-02-22,,2308,台達電,2192,2131,426.0,412.0,207.0,268.0,,649385.0,23.0,9.0,,649385.0,, ,
2023-02-23,,2308,台達電,2131,2262,412.0,391.0,153.0,22.0,,649385.0,39.0,18.0,,649385.0,1.0, ,
2023-02-24,,2308,台達電,2262,2232,391.0,386.0,122.0,152.0,,649385.0,16.0,11.0,,649385.0,1.0, ,
2023-02-25,,2308,台達電,2262,2232,391.0,386.0,122.0,152.0,,649385.0,16.0,11.0,,649385.0,1.0, ,
2023-02-27,,2308,台達電,2262,2232,391.0,386.0,122.0,152.0,,649385.0,16.0,11.0,,649385.0,1.0, ,
2023-02-28,,2308,台達電,2262,2232,391.0,386.0,122.0,152.0,,649385.0,16.0,11.0,,649385.0,1.0, ,
2023-03-01,,2308,台達電,2232,2210,386.0,367.0,68.0,84.0,6.0,649385.0,26.0,17.0,10.0,649385.0,, ,
2023-03-02,,2308,台達電,2210,2196,367.0,355.0,36.0,50.0,,649385.0,13.0,1.0,,649385.0,, ,
2023-03-03,,2308,台達電,2196,2192,355.0,350.0,33.0,36.0,1.0,649385.0,7.0,2.0,,649385.0,, ,
2023-03-04,,2308,台達電,2196,2192,355.0,350.0,33.0,36.0,1.0,649385.0,7.0,2.0,,649385.0,, ,
2023-03-06,,2308,台達電,2192,2302,350.0,344.0,170.0,60.0,,649385.0,8.0,2.0,,649385.0,, ,
2023-03-07,,2308,台達電,2302,2327,344.0,346.0,425.0,400.0,,649385.0,17.0,19.0,,649385.0,, ,
2023-03-08,,2308,台達電,2327,2430,346.0,341.0,197.0,94.0,,649385.0,5.0,,,649385.0,, ,
2023-03-09,,2308,台達電,2430,2459,341.0,341.0,156.0,126.0,1.0,649385.0,2.0,2.0,,649385.0,, ,
2023-03-10,,2308,台達電,2459,2485,341.0,338.0,137.0,111.0,,649385.0,18.0,15.0,,649385.0,, ,
2023-03-11,,2308,台達電,2459,2485,341.0,338.0,137.0,111.0,,649385.0,18.0,15.0,,649385.0,, ,
2023-03-13,,2308,台達電,2485,2405,338.0,351.0,45.0,125.0,,649385.0,,13.0,,649385.0,1.0, ,
2023-03-14,,2308,台達電,2405,2475,351.0,347.0,150.0,73.0,7.0,649385.0,11.0,7.0,,649385.0,, ,
2023-03-15,,2308,台達電,2475,2339,347.0,355.0,15.0,151.0,,649385.0,1.0,9.0,,649385.0,, ,
2023-03-16,,2308,台達電,2339,2351,355.0,357.0,77.0,65.0,,649385.0,3.0,5.0,,649385.0,, ,
2023-03-17,,2308,台達電,2351,2331,357.0,351.0,56.0,76.0,,649385.0,7.0,1.0,,649385.0,, ,
2023-03-18,,2308,台達電,2351,2331,357.0,351.0,56.0,76.0,,649385.0,7.0,1.0,,649385.0,, ,
2023-03-20,,2308,台達電,2331,2321,351.0,349.0,38.0,48.0,,649385.0,2.0,,,649385.0,3.0, ,
2023-03-21,,2308,台達電,2321,2252,349.0,347.0,62.0,131.0,,649385.0,11.0,9.0,,649385.0,, ,
2023-03-22,,2308,台達電,2252,2329,347.0,342.0,165.0,87.0,1.0,649385.0,8.0,3.0,,649385.0,, ,
2023-03-23,,2308,台達電,2329,2308,342.0,340.0,48.0,69.0,,649385.0,4.0,3.0,1.0,649385.0,, ,
2023-03-24,,2308,台達電,2308,2082,340.0,376.0,160.0,382.0,4.0,649385.0,10.0,46.0,,649385.0,, ,
2023-03-25,,2308,台達電,2308,2082,340.0,376.0,160.0,382.0,4.0,649385.0,10.0,46.0,,649385.0,, ,
2023-03-27,,2308,台達電,2082,2025,376.0,354.0,93.0,150.0,,649385.0,27.0,5.0,,649385.0,, ,
2023-03-28,,2308,台達電,2025,1985,354.0,341.0,94.0,134.0,,649385.0,16.0,3.0,,649385.0,1.0, ,
2023-03-29,,2308,台達電,1985,2029,341.0,321.0,69.0,25.0,,649385.0,19.0,3.0,4.0,649385.0,, ,
2023-03-30,,2308,台達電,2029,2074,321.0,284.0,66.0,21.0,,649385.0,22.0,,15.0,649385.0,1.0, ,
2023-03-31,,2308,台達電,2074,2008,284.0,268.0,114.0,180.0,,649385.0,27.0,11.0,,649385.0,, ,
2023-04-01,,2308,台達電,2074,2008,284.0,268.0,114.0,180.0,,649385.0,27.0,11.0,,649385.0,, ,
2023-04-03,,2308,台達電,2074,2008,284.0,268.0,114.0,180.0,,649385.0,27.0,11.0,,649385.0,, ,
2023-04-04,,2308,台達電,2074,2008,284.0,268.0,114.0,180.0,,649385.0,27.0,11.0,,649385.0,, ,
2023-04-05,,2308,台達電,2074,2008,284.0,268.0,114.0,180.0,,649385.0,27.0,11.0,,649385.0,, ,
2023-04-06,,2308,台達電,2008,2043,268.0,208.0,128.0,93.0,,649385.0,62.0,2.0,,649385.0,,X ,
2023-04-07,,2308,台達電,2043,2043,208.0,2.0,57.0,57.0,,649385.0,206.0,,,649385.0,,X ,
2023-04-08,,2308,台達電,2043,2043,208.0,2.0,57.0,57.0,,649385.0,206.0,,,649385.0,,X ,
2023-04-10,,2308,台達電,2043,1823,2.0,,10.0,230.0,,649385.0,,,2.0,649385.0,,X ,
2023-04-11,,2308,台達電,1823,1831,,,102.0,94.0,,649385.0,,,,649385.0,,X ,
2023-04-12,,2308,台達電,1831,1907,,,165.0,89.0,,649385.0,,,,649385.0,, ,
2023-04-13,,2308,台達電,1907,1806,,25.0,36.0,137.0,,649385.0,,25.0,,649385.0,1.0, ,
2023-04-14,,2308,台達電,1806,2130,25.0,79.0,875.0,551.0,,649385.0,3.0,57.0,,649385.0,111.0, ,
2023-04-15,,2308,台達電,1806,2130,25.0,79.0,875.0,551.0,,649385.0,3.0,57.0,,649385.0,111.0, ,
2023-04-17,,2308,台達電,2130,2529,79.0,54.0,565.0,166.0,,649385.0,29.0,4.0,,649385.0,, ,
2023-04-18,,2308,台達電,2529,2516,54.0,52.0,196.0,209.0,,649385.0,4.0,5.0,3.0,649385.0,, ,
