,index,股票代號,股票名稱,融資前日餘額,融資今日餘額,融券前日餘額,融券今日餘額,融資買進,融資賣出,融資現金償還,融資限額,融券買進,融券賣出,融券現券償還,融券限額,資券互抵,註記,filter
2022-12-08,693.0,3059,華晶科,10852,10777,775.0,752.0,,,,,,,,,,,False
2022-12-12,,3059,華晶科,10762,10832,739.0,744.0,129.0,59.0,,69725.0,12.0,17.0,,69725.0,45.0, ,False
2022-12-13,,3059,華晶科,10760,10945,760.0,711.0,290.0,103.0,2.0,69725.0,53.0,4.0,,69725.0,, ,False
2022-12-14,,3059,華晶科,10945,11001,711.0,652.0,259.0,203.0,,69725.0,59.0,,,69725.0,1.0, ,False
2022-12-15,,3059,華晶科,11001,11029,652.0,617.0,181.0,153.0,,69725.0,42.0,7.0,,69725.0,, ,False
2022-12-18,,3059,華晶科,11029,10839,617.0,446.0,164.0,320.0,34.0,69725.0,190.0,19.0,,69725.0,, ,False
2022-12-19,,3059,華晶科,10839,10945,446.0,407.0,259.0,153.0,,69725.0,47.0,8.0,,69725.0,, ,False
2022-12-20,,3059,華晶科,10945,10960,407.0,331.0,140.0,122.0,3.0,69704.0,78.0,2.0,,69704.0,, ,False
2022-12-21,,3059,華晶科,10960,10927,331.0,321.0,50.0,81.0,2.0,69704.0,17.0,7.0,,69704.0,, ,False
2022-12-23,,3059,華晶科,10871,10885,324.0,335.0,74.0,60.0,,69704.0,8.0,19.0,,69704.0,2.0, ,False
2022-12-26,,3059,華晶科,10885,10855,335.0,331.0,35.0,64.0,1.0,69704.0,6.0,2.0,,69704.0,, ,False
2022-12-27,,3059,華晶科,10855,10853,331.0,333.0,49.0,48.0,3.0,69704.0,4.0,6.0,,69704.0,, ,False
2022-12-28,,3059,華晶科,10853,10801,333.0,334.0,81.0,125.0,8.0,69704.0,2.0,3.0,,69704.0,, ,False
2022-12-29,,3059,華晶科,10801,10762,334.0,326.0,19.0,58.0,,69704.0,13.0,5.0,,69704.0,, ,False
2022-12-30,,3059,華晶科,10762,10793,326.0,326.0,79.0,37.0,11.0,69704.0,,,,69704.0,, ,False
2023-01-03,,3059,華晶科,10793,10700,326.0,318.0,21.0,91.0,23.0,69704.0,11.0,3.0,,69704.0,, ,
2023-01-04,,3059,華晶科,10700,10795,318.0,314.0,117.0,22.0,,69704.0,4.0,,,69704.0,, ,
2023-01-05,,3059,華晶科,10795,10791,314.0,312.0,77.0,81.0,,69704.0,3.0,1.0,,69704.0,, ,
2023-01-06,,3059,華晶科,10791,10752,312.0,313.0,42.0,81.0,,69704.0,1.0,2.0,,69704.0,, ,
2023-01-10,,3059,華晶科,10678,10659,305.0,300.0,69.0,88.0,,69704.0,5.0,,,69704.0,, ,
