,index,股票代號,股票名稱,融資前日餘額,融資今日餘額,融券前日餘額,融券今日餘額,融資買進,融資賣出,融資現金償還,融資限額,融券買進,融券賣出,融券現券償還,融券限額,資券互抵,註記,filter
2022-12-08,935.0,6269,台郡,3658,3482,460.0,512.0,,,,,,,,,,,False
2022-12-12,,6269,台郡,3475,3420,470.0,402.0,64.0,99.0,20.0,80702.0,70.0,2.0,,80702.0,, ,False
2022-12-13,,6269,台郡,3413,3405,381.0,388.0,63.0,70.0,1.0,80702.0,6.0,13.0,,80702.0,, ,False
2022-12-14,,6269,台郡,3405,3400,388.0,336.0,41.0,15.0,31.0,80702.0,61.0,9.0,,80702.0,, ,False
2022-12-15,,6269,台郡,3400,3326,336.0,341.0,22.0,95.0,1.0,80697.0,4.0,9.0,,80697.0,, ,False
2022-12-18,,6269,台郡,3326,3297,341.0,346.0,17.0,44.0,2.0,80697.0,4.0,9.0,,80697.0,, ,False
2022-12-19,,6269,台郡,3297,3282,346.0,376.0,3.0,18.0,,80697.0,3.0,33.0,,80697.0,, ,False
2022-12-20,,6269,台郡,3282,3218,376.0,389.0,40.0,101.0,3.0,80697.0,9.0,22.0,,80697.0,, ,False
2022-12-21,,6269,台郡,3218,3191,389.0,386.0,12.0,36.0,3.0,80697.0,5.0,2.0,,80697.0,, ,False
2022-12-23,,6269,台郡,3200,3226,385.0,358.0,47.0,16.0,5.0,80697.0,29.0,2.0,,80697.0,, ,False
2022-12-26,,6269,台郡,3226,3226,358.0,363.0,14.0,9.0,5.0,80697.0,,5.0,,80697.0,, ,False
2022-12-27,,6269,台郡,3226,3197,363.0,327.0,10.0,24.0,15.0,80697.0,39.0,3.0,,80697.0,, ,False
2022-12-28,,6269,台郡,3197,3198,327.0,255.0,26.0,16.0,9.0,80697.0,76.0,4.0,,80697.0,, ,False
2022-12-29,,6269,台郡,3198,3168,255.0,245.0,26.0,43.0,13.0,80697.0,11.0,1.0,,80697.0,, ,False
2022-12-30,,6269,台郡,3168,3133,245.0,243.0,19.0,44.0,10.0,80697.0,2.0,,,80697.0,, ,False
2023-01-03,,6269,台郡,3133,3091,243.0,240.0,6.0,46.0,2.0,80697.0,3.0,,,80697.0,1.0, ,
2023-01-04,,6269,台郡,3091,3113,240.0,247.0,41.0,15.0,4.0,80697.0,2.0,9.0,,80697.0,, ,
2023-01-05,,6269,台郡,3113,3017,247.0,232.0,22.0,111.0,7.0,80697.0,15.0,,,80697.0,, ,
2023-01-06,,6269,台郡,3017,2987,232.0,228.0,22.0,41.0,11.0,80697.0,5.0,1.0,,80697.0,, ,
2023-01-10,,6269,台郡,2925,2889,227.0,229.0,29.0,62.0,3.0,80697.0,,2.0,,80697.0,, ,
2023-01-11,,6269,台郡,2889,2935,229.0,226.0,66.0,16.0,4.0,80697.0,3.0,,,80697.0,, ,
2023-01-12,,6269,台郡,2935,2919,226.0,227.0,4.0,19.0,1.0,80697.0,1.0,2.0,,80697.0,, ,
2023-01-14,,6269,台郡,2919,2905,227.0,225.0,29.0,35.0,8.0,80697.0,2.0,,,80697.0,, ,
2023-01-16,,6269,台郡,2905,2821,225.0,225.0,13.0,76.0,21.0,80697.0,,,,80697.0,, ,
2023-01-18,,6269,台郡,2821,2810,225.0,225.0,11.0,20.0,2.0,80697.0,1.0,1.0,,80697.0,, ,
2023-02-01,,6269,台郡,2796,2780,224.0,224.0,52.0,64.0,4.0,80697.0,,,,80697.0,, ,
2023-02-02,,6269,台郡,2796,2780,224.0,224.0,52.0,64.0,4.0,80697.0,,,,80697.0,, ,
2023-02-03,,6269,台郡,2748,2753,225.0,224.0,65.0,56.0,4.0,80697.0,1.0,,,80697.0,3.0, ,
2023-02-04,,6269,台郡,2748,2753,225.0,224.0,65.0,56.0,4.0,80697.0,1.0,,,80697.0,3.0, ,
2023-02-06,,6269,台郡,2753,2791,224.0,223.0,58.0,17.0,3.0,80697.0,1.0,,,80697.0,, ,
2023-02-07,,6269,台郡,2791,2816,223.0,223.0,51.0,14.0,12.0,80697.0,1.0,1.0,,80697.0,, ,
2023-02-08,,6269,台郡,2816,2749,223.0,214.0,41.0,103.0,5.0,80697.0,10.0,1.0,,80697.0,, ,
2023-02-09,,6269,台郡,2749,2762,214.0,212.0,35.0,21.0,1.0,80697.0,2.0,,,80697.0,, ,
2023-02-10,,6269,台郡,2762,2854,212.0,233.0,228.0,124.0,12.0,80697.0,2.0,23.0,,80697.0,, ,
2023-02-11,,6269,台郡,2762,2854,212.0,233.0,228.0,124.0,12.0,80697.0,2.0,23.0,,80697.0,, ,
2023-02-13,,6269,台郡,2854,2892,233.0,217.0,117.0,63.0,16.0,80697.0,16.0,,,80697.0,, ,
2023-02-14,,6269,台郡,2892,2968,217.0,224.0,92.0,13.0,3.0,80697.0,,7.0,,80697.0,, ,
2023-02-15,,6269,台郡,2968,2965,224.0,217.0,23.0,23.0,3.0,80697.0,12.0,5.0,,80697.0,, ,
2023-02-16,,6269,台郡,2954,3238,217.0,213.0,390.0,89.0,17.0,80697.0,4.0,,,80697.0,, ,
2023-02-17,,6269,台郡,3249,3294,213.0,214.0,70.0,25.0,,80697.0,,1.0,,80697.0,, ,
2023-02-18,,6269,台郡,3249,3294,213.0,214.0,70.0,25.0,,80697.0,,1.0,,80697.0,, ,
2023-02-20,,6269,台郡,3294,3297,214.0,214.0,75.0,70.0,2.0,80697.0,,,,80697.0,, ,
2023-02-21,,6269,台郡,3297,3304,214.0,207.0,40.0,33.0,,80697.0,7.0,,,80697.0,, ,
2023-02-22,,6269,台郡,3304,3367,207.0,208.0,85.0,20.0,2.0,80697.0,2.0,3.0,,80697.0,, ,
2023-02-23,,6269,台郡,3367,3407,208.0,207.0,191.0,151.0,,80697.0,2.0,1.0,,80697.0,, ,
2023-02-24,,6269,台郡,3407,3412,207.0,165.0,226.0,216.0,5.0,80697.0,42.0,,,80697.0,, ,
2023-02-25,,6269,台郡,3407,3412,207.0,165.0,226.0,216.0,5.0,80697.0,42.0,,,80697.0,, ,
2023-02-27,,6269,台郡,3407,3412,207.0,165.0,226.0,216.0,5.0,80697.0,42.0,,,80697.0,, ,
2023-02-28,,6269,台郡,3407,3412,207.0,165.0,226.0,216.0,5.0,80697.0,42.0,,,80697.0,, ,
2023-03-01,,6269,台郡,3412,3462,165.0,166.0,68.0,17.0,1.0,80697.0,4.0,5.0,,80697.0,, ,
2023-03-02,,6269,台郡,3462,3432,166.0,165.0,17.0,31.0,16.0,80697.0,2.0,1.0,,80697.0,, ,
2023-03-03,,6269,台郡,3432,3345,165.0,164.0,8.0,91.0,4.0,80697.0,1.0,,,80697.0,, ,
2023-03-04,,6269,台郡,3432,3345,165.0,164.0,8.0,91.0,4.0,80697.0,1.0,,,80697.0,, ,
2023-03-06,,6269,台郡,3345,3232,164.0,154.0,40.0,144.0,9.0,80697.0,10.0,,,80697.0,30.0, ,
2023-03-07,,6269,台郡,3232,3217,154.0,155.0,45.0,59.0,1.0,80697.0,1.0,2.0,,80697.0,, ,
2023-03-08,,6269,台郡,3217,2926,155.0,165.0,23.0,312.0,2.0,80697.0,,10.0,,80697.0,, ,
2023-03-09,,6269,台郡,2926,3005,165.0,154.0,127.0,46.0,2.0,80690.0,11.0,,,80690.0,, ,
2023-03-10,,6269,台郡,3005,2995,154.0,153.0,48.0,58.0,,80690.0,2.0,1.0,,80690.0,, ,
2023-03-11,,6269,台郡,3005,2995,154.0,153.0,48.0,58.0,,80690.0,2.0,1.0,,80690.0,, ,
2023-03-13,,6269,台郡,2995,2986,153.0,154.0,18.0,27.0,,80690.0,1.0,2.0,,80690.0,, ,
2023-03-14,,6269,台郡,2986,3073,154.0,155.0,115.0,27.0,1.0,80690.0,3.0,4.0,,80690.0,, ,
2023-03-15,,6269,台郡,3073,3101,155.0,156.0,43.0,14.0,1.0,80690.0,3.0,4.0,,80690.0,, ,
2023-03-16,,6269,台郡,3101,2993,156.0,148.0,66.0,172.0,2.0,80690.0,14.0,7.0,1.0,80690.0,1.0, ,
2023-03-17,,6269,台郡,2993,2996,148.0,145.0,30.0,18.0,9.0,80690.0,7.0,4.0,,80690.0,, ,
2023-03-18,,6269,台郡,2993,2996,148.0,145.0,30.0,18.0,9.0,80690.0,7.0,4.0,,80690.0,, ,
